age,income,loan_amount,credit_score,employment_length,delinquencies,default
38,54840,16410,714,7,2,0
24,54010,22192,717,7,3,1
42,46066,3221,702,0,3,1
44,68569,12717,680,18,0,1
18,64692,21633,678,16,3,1
21,28187,15524,669,5,3,0
36,26969,26738,678,2,0,1
31,68493,2392,683,16,1,0
34,43694,1479,551,16,3,0
26,66040,21157,594,17,0,1
43,75618,21926,577,10,3,1
42,34580,13453,727,14,4,1
35,31769,18203,765,14,2,1
46,93488,20961,498,4,2,1
39,67031,8489,759,10,0,0
26,51615,9345,656,5,3,0
38,41321,16517,720,15,4,1
25,49791,22232,685,19,4,1
43,36188,5672,750,1,2,0
34,77668,13416,664,1,0,1
33,44464,13046,554,5,1,1
28,81870,18343,642,2,1,1
47,51987,14930,686,0,0,1
33,39132,10632,634,19,0,1
30,51473,24988,696,11,2,1
31,20000,10685,645,15,0,0
40,57584,12663,608,11,0,1
38,56597,2268,573,14,4,1
39,76494,9290,622,13,3,1
39,22273,19128,664,3,4,1
56,83237,17564,512,3,1,1
30,76411,19796,595,9,1,1
29,85040,19407,510,7,3,1
26,58945,31701,606,16,3,1
41,80277,9017,733,6,1,0
46,30575,2044,566,6,4,1
33,74260,6595,699,10,3,1
26,44576,9370,849,3,1,1
26,26971,7205,751,17,0,1
41,37517,15749,659,0,0,1
42,60110,25021,710,16,4,1
40,43514,27317,554,12,4,1
28,67521,19034,539,17,2,1
37,23835,32130,652,5,3,1
36,20000,12149,677,18,4,1
37,87447,1939,726,17,0,0
43,78076,23425,610,9,4,1
37,39014,1000,663,5,2,0
41,59940,8959,661,3,2,1
35,80390,19160,640,3,0,0
37,68384,14180,644,11,3,1
41,62964,13472,590,19,3,1
20,81903,5553,669,11,0,0
31,45385,14913,663,19,3,1
30,60623,23029,619,15,0,1
28,59643,15159,696,13,1,1
32,54544,8358,721,14,3,1
49,52203,5019,697,18,3,1
26,61457,8523,577,17,0,1
44,60688,18138,656,3,2,1
18,39031,17748,586,11,1,1
31,76035,8595,656,9,3,1
36,40472,1000,586,17,4,1
40,55635,18360,739,4,3,1
42,54094,7818,704,16,3,1
42,67162,20512,730,9,2,1
31,20000,8951,723,18,2,1
30,77818,7096,631,15,1,1
43,46460,16225,620,6,4,1
33,84399,33861,771,16,1,1
22,50436,20992,638,3,4,1
23,59023,16089,555,0,3,1
25,98275,17870,720,10,4,1
39,54453,1000,660,7,3,1
36,84776,6021,755,2,1,0
41,60780,1000,667,19,1,1
30,68308,28838,648,0,0,1
36,61399,27219,756,11,4,1
41,76957,18142,542,5,0,1
31,46289,16080,609,5,4,1
39,40319,2587,587,4,3,1
28,47228,13245,496,7,0,1
31,61994,29339,711,13,4,1
31,55583,16051,610,6,0,1
23,74205,10482,713,14,0,0
39,86094,1000,677,8,2,1
30,40483,26042,692,15,0,1
35,45321,14439,618,8,0,1
39,31275,1000,596,7,3,1
39,100607,7605,656,10,4,1
41,66093,4779,714,13,0,0
34,69596,13946,646,9,3,1
30,33195,16658,600,18,3,1
34,59976,10974,566,10,0,0
18,70184,21216,664,5,0,1
20,54944,15630,611,0,2,1
